,showing_time
e4:40:e2:cc:80:e8,3
18:dc:56:f0:0c:d0,11
e4:5a:a2:92:68:32,22
18:dc:56:21:79:0b,8
e4:5a:a2:bf:90:a2,46
64:b4:73:49:da:b4,50
68:3e:34:08:f1:1b,6
88:63:df:28:f0:7d,9
18:dc:56:cc:41:c6,1
18:dc:56:f1:a2:1e,12
b0:9f:ba:ec:a4:8b,9
6c:70:9f:ef:fa:15,33
18:dc:56:c0:11:95,1
88:32:9b:a2:df:b2,4
9c:99:a0:27:60:e3,7
e8:bb:a8:93:4d:57,1
e8:bb:a8:74:20:6c,12
e8:8d:28:7a:e8:96,9
e8:8d:28:8a:ae:da,20
88:32:9b:d8:19:df,98
e8:bb:a8:6e:7e:67,21
e8:bb:a8:29:6d:3c,23
9c:99:a0:22:fa:ff,133
9a:d8:97:45:d6:a3,1
18:dc:56:f1:aa:7e,2
ea:c2:ac:4b:d0:43,1
1e:e6:ba:63:d1:09,1
e0:19:1d:99:0b:a8,2
e0:2c:b2:48:5e:00,7
1c:e6:2b:2a:69:63,2
1c:af:05:3f:0d:1d,27
e0:66:78:bb:b1:44,7
ea:f7:05:6d:30:ab,1
1c:1a:c0:d4:98:8f,34
84:db:ac:c0:c2:e1,23
18:59:36:ca:1d:fa,33
1c:1a:c0:50:7b:c1,5
9c:99:a0:c5:a7:cf,30
88:a7:3c:a5:0a:ea,47
9c:99:a0:fb:46:ae,1
6c:c2:6b:88:b6:da,65
9c:99:a0:f9:0c:de,3
e2:4d:74:bc:ff:74,1
1a:85:9c:32:a3:f0,1
e2:53:7a:52:4c:72,1
e2:de:80:18:97:78,1
18:f6:43:e4:a9:31,23
18:9e:fc:07:29:27,8
64:b4:73:45:1d:9f,31
88:1f:a1:6a:1c:90,23
e0:c9:7a:1b:01:6b,1
d8:55:a3:cf:a2:8d,11
64:09:80:fc:7c:10,37
64:09:80:fc:05:02,7
8c:58:77:99:0d:eb,1
f0:d1:a9:61:8c:f5,27
8c:34:fd:f5:04:18,21
60:fa:cd:de:1c:5f,11
12:5b:0e:76:8d:af,1
70:11:24:ac:c3:71,18
f0:99:bf:39:d6:f4,9
34:80:b3:ef:db:88,35
d0:a6:37:d0:c9:8b,8
f0:5a:09:f0:6a:0b,23
7c:c5:37:f4:44:a3,18
7c:1d:d9:de:43:de,65
d0:a6:37:d7:cb:99,46
8c:34:fd:82:0f:f7,19
34:80:b3:6c:31:d8,22
14:36:c6:75:00:18,45
d0:e1:40:5d:bf:a5,19
b4:52:7e:7a:b9:4c,30
d2:4f:08:31:e6:79,1
7c:fa:df:8d:33:79,1
14:36:c6:76:d2:cb,8
d2:6e:f7:a2:b0:13,1
